                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.2312,                 1.6176,                 1.3982,                 1.3911,                 1.8349,                 1.3746,                0.45626,                  0.337,                0.29383,                0.15284,                 1.3288,                 1.6013,                 1.4281,                  1.501,                 1.7857,                 1.4102,             0.00038966,             0.00038966,             0.00038966
                     24,                   1.23,                 1.5855,                 1.3849,                 1.4102,                 1.7947,                 1.3661,                0.33431,                0.39742,                0.29147,                0.14796,                  1.356,                 1.5922,                 1.4343,                 1.5545,                 1.7469,                 1.4407,             0.00037645,             0.00037645,             0.00037645
                     25,                 1.2093,                 1.5603,                 1.3654,                  1.404,                 1.7663,                 1.3416,                0.31508,                0.39491,                0.29684,                0.16477,                 1.3093,                 1.5502,                 1.4163,                 1.5061,                 1.6625,                 1.4095,             0.00036325,             0.00036325,             0.00036325
                     26,                 1.2149,                 1.5308,                 1.3913,                 1.3706,                 1.7471,                 1.3648,                0.30405,                0.33668,                 0.2832,                0.15043,                 1.3658,                  1.604,                 1.4653,                 1.5381,                 1.7415,                 1.4315,             0.00035004,             0.00035004,             0.00035004
                     27,                 1.2171,                 1.5609,                 1.3736,                 1.3949,                 1.7641,                  1.357,                0.29258,                0.37418,                0.27387,                0.14615,                 1.3452,                 1.6043,                 1.4558,                 1.5057,                 1.7511,                 1.4283,             0.00033683,             0.00033683,             0.00033683
                     28,                 1.1798,                 1.5396,                 1.3762,                 1.3506,                 1.7421,                 1.3595,                0.32726,                0.41905,                0.31045,                0.16696,                 1.3544,                 1.5919,                 1.4435,                 1.5042,                 1.7228,                 1.4201,             0.00032363,             0.00032363,             0.00032363
                     29,                 1.1561,                 1.4723,                 1.3335,                 1.3403,                 1.6738,                 1.3244,                0.29634,                0.44255,                 0.2874,                0.15586,                 1.3468,                 1.6053,                 1.4345,                 1.5086,                  1.726,                 1.4263,             0.00031042,             0.00031042,             0.00031042
                     30,                 1.2026,                 1.5049,                 1.3473,                  1.395,                 1.7035,                 1.3315,                 0.3792,                0.40102,                0.31462,                0.16761,                 1.3353,                 1.5218,                  1.435,                 1.4579,                 1.6715,                 1.3928,             0.00029722,             0.00029722,             0.00029722
                     31,                 1.1595,                 1.4637,                 1.3362,                 1.3298,                 1.6619,                 1.3322,                0.40157,                 0.4739,                0.33528,                0.18809,                  1.308,                 1.5034,                 1.4054,                 1.4386,                 1.6108,                 1.3922,             0.00028401,             0.00028401,             0.00028401
                     32,                 1.1757,                 1.4436,                 1.3332,                 1.3608,                 1.6029,                   1.32,                0.37205,                0.39007,                0.32263,                0.18423,                 1.3033,                 1.5143,                 1.3927,                 1.4583,                 1.6373,                 1.3882,              0.0002708,              0.0002708,              0.0002708
