                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.1919,                  1.038,                 1.1515,                 1.3742,                 1.3965,                 1.1047,                0.65803,                0.60282,                0.64697,                0.41763,                 1.3596,                 1.2082,                 1.1981,                 1.4892,                 1.5291,                 1.1462,             0.00044925,             0.00044925,             0.00044925
                     24,                 1.1655,                 1.0085,                 1.1303,                 1.3675,                 1.3605,                 1.0881,                0.59846,                0.63936,                 0.6381,                 0.4082,                 1.3555,                 1.1625,                 1.1981,                 1.4719,                 1.5351,                 1.1349,             0.00043402,             0.00043402,             0.00043402
                     25,                  1.164,                 1.0131,                 1.1233,                 1.3778,                 1.3747,                 1.0815,                0.65376,                0.63665,                0.66143,                0.43087,                 1.3238,                 1.1404,                 1.1773,                 1.4752,                 1.4555,                 1.1265,              0.0004188,              0.0004188,              0.0004188
                     26,                  1.173,                  0.993,                   1.13,                 1.3674,                 1.3373,                 1.0914,                0.62945,                0.63338,                 0.6614,                0.42323,                 1.3529,                 1.1505,                 1.1964,                 1.4924,                 1.4824,                 1.1295,             0.00040357,             0.00040357,             0.00040357
                     27,                 1.1723,                 0.9867,                 1.1344,                 1.3671,                 1.3171,                 1.0864,                0.66041,                0.60179,                0.65654,                0.42477,                  1.332,                 1.1193,                 1.1893,                  1.463,                 1.4684,                 1.1339,             0.00038835,             0.00038835,             0.00038835
                     28,                 1.1411,                0.97705,                 1.1225,                 1.3431,                  1.289,                 1.0818,                0.60436,                0.64645,                0.65854,                0.42965,                 1.3261,                 1.1237,                 1.1916,                  1.464,                 1.4548,                 1.1497,             0.00037312,             0.00037312,             0.00037312
                     29,                 1.1424,                0.96012,                  1.124,                 1.3502,                 1.2753,                 1.0889,                 0.6917,                0.64458,                0.68891,                0.44305,                 1.3261,                 1.0663,                  1.203,                 1.4709,                 1.3845,                 1.1536,             0.00035789,             0.00035789,             0.00035789
                     30,                  1.135,                0.92847,                 1.1207,                 1.3363,                 1.2528,                 1.0805,                0.65506,                0.60696,                0.65691,                0.41934,                 1.3398,                 1.1103,                 1.1889,                 1.4868,                 1.4198,                 1.1445,             0.00034267,             0.00034267,             0.00034267
                     31,                 1.1288,                0.91472,                 1.1067,                 1.3446,                 1.2191,                 1.0739,                 0.6811,                0.63733,                0.68146,                0.44315,                 1.3265,                 1.0836,                 1.1865,                 1.4583,                 1.4049,                  1.132,             0.00032744,             0.00032744,             0.00032744
                     32,                 1.1307,                0.90366,                 1.1067,                 1.3445,                 1.2083,                 1.0703,                0.63922,                0.66768,                0.67389,                0.43432,                 1.3355,                 1.0794,                 1.1809,                 1.4605,                 1.3794,                  1.136,             0.00031221,             0.00031221,             0.00031221
